000000032 008   L 190707k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d
000000032 911   L $$aPShKo-DNC-LDNBG-029$$cאוסף שוש קורמוש
000000032 351   L $$cFile Record
000000032 24510 H $$aתצלומים - להקת המחול, יצירה לא ידועה
000000032 BAS   L $$aVIS
000000032 999   L $$aARCHIVE$$bNOULI$$bNOOCLC
000000032 OWN   L $$aNNL
000000032 STA   L $$aSUPPRESSED
000000033 FMT   L MX
000000033 LDR   L 00000npc^a22^^^^^^^^4500
000000033 008   L 190707k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d
000000033 911   L $$aPShKo-DNC-LDNBG-030$$cאוסף שוש קורמוש
000000033 351   L $$cFile Record
000000033 24510 H $$aתצלומים - להקת המחול, יצירה לא ידועה
000000033 BAS   L $$aVIS
000000033 999   L $$aARCHIVE$$bNOULI$$bNOOCLC
000000033 OWN   L $$aNNL
000000033 STA   L $$aSUPPRESSED
000000034 FMT   L MX
000000034 LDR   L 00000npc^a22^^^^^^^^4500
000000034 008   L 190707k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d
000000034 911   L $$aPShKo-DNC-LDNBG-031$$cאוסף שוש קורמוש
000000034 351   L $$cFile Record
000000034 24510 H $$aתצלומים - להקת המחול, יצירה לא ידועה
000000034 BAS   L $$aVIS
000000034 999   L $$aARCHIVE$$bNOULI$$bNOOCLC
000000034 OWN   L $$aNNL
000000034 STA   L $$aSUPPRESSED
000000035 FMT   L MX
000000035 LDR   L 00000npc^a22^^^^^^^^4500
000000035 008   L 190707k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d
000000035 911   L $$aPShKo-DNC-LDNBG-032$$cאוסף שוש קורמוש
000000035 351   L $$cFile Record
000000035 24510 H $$aתצלומים - להקת המחול, יצירה לא ידועה
000000035 BAS   L $$aVIS
000000035 999   L $$aARCHIVE$$bNOULI$$bNOOCLC
000000035 OWN   L $$aNNL
000000035 STA   L $$aSUPPRESSED
000000036 FMT   L MX
000000036 LDR   L 00000npc^a22^^^^^^^^4500
000000036 008   L 190707k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d
000000036 911   L $$aPShKo-DNC-LDNBG-033$$cאוסף שוש קורמוש
000000036 351   L $$cFile Record
000000036 24510 H $$aתצלומים - רקדנית לא ידועה
000000036 BAS   L $$aVIS
000000036 999   L $$aARCHIVE$$bNOULI$$bNOOCLC
000000036 OWN   L $$aNNL
000000036 STA   L $$aSUPPRESSED
000000037 FMT   L MX
000000037 LDR   L 00000npc^a22^^^^^^^^4500
000000037 008   L 190707k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d
000000037 911   L $$aPShKo-DNC-LDNBG-034$$cאוסף שוש קורמוש
000000037 351   L $$cFile Record
000000037 24510 H $$aתצלומים - להקת המחול, יצירה לא ידועה
000000037 BAS   L $$aVIS
000000037 999   L $$aARCHIVE$$bNOULI$$bNOOCLC
000000037 OWN   L $$aNNL
000000037 STA   L $$aSUPPRESSED
000000038 FMT   L MX
000000038 LDR   L 00000npc^a22^^^^^^^^4500
000000038 008   L 190707k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d
000000038 911   L $$aPShKo-DNC-LDNBG-035$$cאוסף שוש קורמוש
000000038 351   L $$cFile Record
000000038 24510 H $$aתצלומים - להקת המחול, יצירה לא ידועה
000000038 BAS   L $$aVIS
000000038 999   L $$aARCHIVE$$bNOULI$$bNOOCLC
000000038 OWN   L $$aNNL
000000038 STA   L $$aSUPPRESSED
000000039 FMT   L MX
000000039 LDR   L 00000npc^a22^^^^^^^^4500
000000039 008   L 190707k^^^^^^^^xx^^^^^^^^^^^^^^^^^^^^^^d
